Full Name,Date of Birth,Date of Death,Age at Death,Nationality,Profession/Prominence,PED Involvement,Cause of Death,Notable Public/Social Media Presence
Mohammed Benaziza,c.1959,1992-10-04,33,Algerian,Professional bodybuilder,Confirmed steroid and diuretic use:contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1},Heart failure after contest (extreme dehydration from diuretics):contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3},"Nicknamed 'Killer of Giants'; died hours after winning 1992 Grand Prix"
Andreas Münzer,1964-10-25,1996-03-14,31,Austrian,Professional bodybuilder,Confirmed steroid and diuretic use:contentReference[oaicite:4]{index=4},Multiple organ failure due to steroid and diuretic abuse:contentReference[oaicite:5]{index=5}:contentReference[oaicite:6]{index=6},"Featured in bodybuilding magazines; cautionary tale of extreme conditioning"
Eddie Guerrero,1967-10-09,2005-11-13,38,American,Professional wrestler (WWE superstar),Suspected PED use (history of anabolic steroid usage in wrestling):contentReference[oaicite:7]{index=7},Heart failure due to arteriosclerotic heart disease (enlarged heart linked to past substance use),"Hall of Fame wrestler; early death prompted WWE wellness policy reforms"
Ana Carolina Reston,June 1985,2006-11-14,21,Brazilian,Fashion model,No PEDs (extreme anorexic dieting to maintain runway figure),Generalized infection from anorexia-induced malnutrition:contentReference[oaicite:8]{index=8},"International model; her death spurred global awareness on eating disorders"
Isabelle Caro,1982-09-12,2010-11-17,28,French,Fashion model and actress,No PEDs (battled severe anorexia for years),Acute respiratory illness exacerbated by anorexia (immune system collapse):contentReference[oaicite:9]{index=9},"Featured in 2007 “No Anorexia” campaign; symbol of fight against anorexia"
Aziz Shavershian (Zyzz),1989-03-24,2011-08-05,22,Australian (born in Russia),Internet fitness personality & model,Suspected steroid use (denied publicly, widely speculated):contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11},Heart attack (autopsy found undiagnosed heart defect and enlarged heart):contentReference[oaicite:12]{index=12},"Cult online following on YouTube/forums; iconic modern fitness influencer"
Nasser El Sonbaty,1965-10-15,2013-03-20,47,Yugoslavian-Egyptian,Professional bodybuilder,Confirmed steroid use (top 1990s mass competitor),Heart failure complicated by kidney damage (suspected PED-related illness):contentReference[oaicite:13]{index=13},"8× Mr. Olympia top-6 finisher; known for extreme mass in 90s"
Terri Harris,c.1964,August 2013,49,American,Bodybuilder (IFBB Masters),Confirmed steroid & clenbuterol use (contest prep):contentReference[oaicite:14]{index=14},Sudden cardiac death during cardio (likely from contest diuretics & electrolyte imbalance):contentReference[oaicite:15]{index=15},"Made pro debut at 2013 Tampa Pro days before death; case cited in Washington Post investigation"
Daniele Seccarecci,1980-06-10,2013-09-04,33,Italian,Professional bodybuilder,Confirmed steroid use (known “mass monster”),Heart attack (collapsed at home, had known heart condition):contentReference[oaicite:16]{index=16},"Guinness record for heaviest competitive bodybuilder; died in prime of career"
Greg Kovacs,1968-12-16,2013-11-22,44,Canadian,Professional bodybuilder,Confirmed steroid use (extreme bulking in 90s),Heart failure:contentReference[oaicite:17]{index=17},"One of the largest bodybuilders ever (6’4” 400+ lbs off-season); Weider cover athlete"
Mike Matarazzo,1965-11-08,2014-08-16,48,American,Professional bodybuilder,Confirmed steroid use (blamed for his heart issues):contentReference[oaicite:18]{index=18},Heart failure (awaiting transplant after multiple heart attacks):contentReference[oaicite:19]{index=19},"1990s fan-favorite; outspoken about PED health risks in retirement"
Dallas McCarver,1991-04-09,2017-08-22,26,American,IFBB professional bodybuilder,Confirmed steroid use (autopsy showed steroid-related heart damage):contentReference[oaicite:20]{index=20},Acute cardiac arrest (choked on food; heart was ~3× normal size):contentReference[oaicite:21]{index=21},"Rising bodybuilding star (earned pro card at 21); significant social media following"
